[2024-04-27 08:50:45] Weather in Faridabad: Clouds, Wind speed: 1 km/h, Temperature: 29.14 °C, Humidity: 25%, Feels like: 27.74 °C
[2024-04-27 08:50:50] Weather in kurukshetra: Clouds, Wind speed: 1 km/h, Temperature: 28.92 °C, Humidity: 33%, Feels like: 27.99 °C
[2024-04-27 08:58:05] Weather in karnal: Clouds, Wind speed: 1 km/h, Temperature: 29.98 °C, Humidity: 32%, Feels like: 28.89 °C
[2024-04-27 09:02:01] Weather in Rewari: Clouds, Wind speed: 1 km/h, Temperature: 35.25 °C, Humidity: 17%, Feels like: 33.00 °C
[2024-04-27 09:02:02] Weather in kurukshetra: Clouds, Wind speed: 1 km/h, Temperature: 32.33 °C, Humidity: 26%, Feels like: 30.75 °C
[2024-04-27 09:10:30] Weather in New York: Clear, Wind speed: 1 km/h, Temperature: 8.24 °C, Humidity: 54%, Feels like: 5.55 °C
[2024-04-27 09:30:19] Weather in Karnal: Clouds, Wind speed: 1 km/h, Temperature: 32.86 °C, Humidity: 25%, Feels like: 31.23 °C
[2024-04-27 09:30:20] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 29.05 °C, Humidity: 42%, Feels like: 28.84 °C
[2024-04-27 09:30:28] Weather in Karnal: Clouds, Wind speed: 1 km/h, Temperature: 32.86 °C, Humidity: 25%, Feels like: 31.23 °C
[2024-04-27 09:30:29] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 29.05 °C, Humidity: 42%, Feels like: 28.84 °C
[2024-04-27 09:31:45] Weather in Karnal: Clouds, Wind speed: 1 km/h, Temperature: 32.86 °C, Humidity: 25%, Feels like: 31.23 °C
[2024-04-27 09:31:45] Weather in Karnal: Clouds, Wind speed: 1 km/h, Temperature: 32.86 °C, Humidity: 25%, Feels like: 31.23 °C
[2024-04-27 09:31:45] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 29.05 °C, Humidity: 42%, Feels like: 28.84 °C
[2024-04-27 09:31:46] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 29.05 °C, Humidity: 42%, Feels like: 28.84 °C
[2024-04-27 09:32:07] Weather in Karnal: Clouds, Wind speed: 1 km/h, Temperature: 32.86 °C, Humidity: 25%, Feels like: 31.23 °C
[2024-04-27 09:32:08] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 29.05 °C, Humidity: 42%, Feels like: 28.84 °C
[2024-04-27 10:11:11] Weather in Karnal: Clouds, Wind speed: 0 km/h, Temperature: 35.74 °C, Humidity: 19%, Feels like: 33.75 °C
[2024-04-27 10:11:13] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 31.05 °C, Humidity: 35%, Feels like: 30.32 °C
[2024-04-27 10:25:01] Weather in california: Clouds, Wind speed: 1 km/h, Temperature: 10.74 °C, Humidity: 72%, Feels like: 9.75 °C
[2024-04-27 10:25:37] Weather in london: Rain, Wind speed: 1 km/h, Temperature: 5.81 °C, Humidity: 89%, Feels like: 3.42 °C
[2024-04-27 10:25:58] Weather in Karnal: Clouds, Wind speed: 0 km/h, Temperature: 35.74 °C, Humidity: 19%, Feels like: 33.75 °C
[2024-04-27 10:25:59] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 31.05 °C, Humidity: 35%, Feels like: 30.32 °C
[2024-04-27 10:59:27] Weather in Patna: Clouds, Wind speed: 1 km/h, Temperature: 38.96 °C, Humidity: 24%, Feels like: 39.07 °C
[2024-04-27 11:00:31] Weather in Patna: Clouds, Wind speed: 1 km/h, Temperature: 38.96 °C, Humidity: 24%, Feels like: 39.07 °C
[2024-04-27 11:17:02] Weather in Patna: Clouds, Wind speed: 2 km/h, Temperature: 38.96 °C, Humidity: 24%, Feels like: 39.07 °C
[2024-04-27 11:17:55] Weather in Patna: Clouds, Wind speed: 2 km/h, Temperature: 38.96 °C, Humidity: 24%, Feels like: 39.07 °C
[2024-04-27 11:17:56] Weather in Jaipur: Haze, Wind speed: 1 km/h, Temperature: 34.62 °C, Humidity: 24%, Feels like: 33.12 °C
[2024-04-27 11:21:52] Weather in Patna: Clouds, Wind speed: 2 km/h, Temperature: 38.96 °C, Humidity: 24%, Feels like: 39.07 °C
[2024-04-27 11:21:52] Weather in Patna: Clouds, Wind speed: 2 km/h, Temperature: 38.96 °C, Humidity: 24%, Feels like: 39.07 °C
[2024-04-27 11:21:53] Weather in Jaipur: Haze, Wind speed: 1 km/h, Temperature: 34.62 °C, Humidity: 24%, Feels like: 33.12 °C
[2024-04-27 11:21:53] Weather in Jaipur: Haze, Wind speed: 1 km/h, Temperature: 34.62 °C, Humidity: 24%, Feels like: 33.12 °C
[2024-04-27 11:23:32] Weather in karnal: Clouds, Wind speed: 1 km/h, Temperature: 37.53 °C, Humidity: 12%, Feels like: 34.82 °C
[2024-04-27 11:24:49] Weather in Karnal: Clouds, Wind speed: 1 km/h, Temperature: 37.53 °C, Humidity: 12%, Feels like: 34.82 °C
[2024-04-27 11:24:51] Weather in Delhi: Haze, Wind speed: 1 km/h, Temperature: 33.05 °C, Humidity: 31%, Feels like: 32.21 °C
[2024-04-27 11:25:15] Weather in Pune: Clear, Wind speed: 1 km/h, Temperature: 33.97 °C, Humidity: 35%, Feels like: 34.21 °C
